CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Card Type,Point Earned,Exited
684,France,Male,32,8,10822.43,1,1,0,48420.86,1,GOLD,358,1
641,France,Male,35,7,0.0,2,0,0,35655.72,5,DIAMOND,772,1
607,Spain,Female,48,2,54516.61,4,1,0,86702.7,5,SILVER,360,1
791,Germany,Male,34,10,55168.99,3,1,0,197511.92,2,PLATINUM,407,1
663,France,Male,38,7,3707.51,2,1,1,53125.89,5,SILVER,561,0
477,Germany,Female,29,4,0.0,2,1,0,31158.71,2,DIAMOND,709,1
496,Germany,Female,40,1,98240.38,1,0,1,46346.37,4,PLATINUM,483,0
643,France,Female,23,3,0.0,1,0,1,40413.68,3,GOLD,530,0
455,France,Male,26,2,0.0,1,1,1,67787.0,3,GOLD,306,1
637,France,Male,32,8,0.0,2,0,0,175224.16,2,DIAMOND,50,0
626,France,Male,46,1,106028.53,4,0,0,18161.01,4,PLATINUM,463,1
680,France,Female,40,6,0.0,1,1,1,34842.81,3,GOLD,534,0
675,France,Female,44,10,0.0,1,0,0,55122.77,5,PLATINUM,619,0
606,France,Male,37,1,195924.95,1,1,0,67333.62,2,SILVER,477,1
601,France,Male,42,6,105512.06,2,1,1,95203.46,3,SILVER,506,0
585,Spain,Female,42,6,0.0,1,1,0,85134.79,1,DIAMOND,321,1
831,Germany,Male,47,3,40533.63,1,1,0,177150.62,2,GOLD,853,1
717,Spain,Female,44,9,67566.74,1,1,0,177849.13,5,DIAMOND,202,0
688,Germany,Female,30,1,0.0,3,1,0,38433.83,5,PLATINUM,571,1
539,Spain,Male,62,0,114000.15,1,1,1,14290.32,5,GOLD,535,0
548,France,Female,25,5,33412.02,2,1,1,164448.32,2,PLATINUM,464,0
644,Spain,Male,27,4,125074.84,1,0,1,179343.05,2,PLATINUM,603,0
503,Germany,Female,52,7,93344.24,2,1,1,186308.63,2,GOLD,521,0
533,France,Male,53,4,0.0,1,1,0,38598.9,2,SILVER,344,1
669,France,Female,44,10,0.0,1,0,1,43643.06,2,GOLD,162,0
628,Germany,Male,52,1,66933.61,1,1,1,86329.42,2,DIAMOND,503,1
623,Germany,Male,40,9,106699.91,1,1,1,54114.79,4,DIAMOND,555,0
603,France,Female,31,10,0.0,1,0,0,149823.16,4,DIAMOND,469,1
592,France,Female,45,9,42904.73,3,1,1,26411.7,2,SILVER,469,1
749,Spain,Male,44,1,0.0,1,1,0,66713.38,2,PLATINUM,586,0
571,Germany,Male,51,0,0.0,2,0,1,87688.11,2,DIAMOND,460,1
591,Germany,Male,36,2,105092.03,1,1,0,45121.39,3,PLATINUM,153,1
728,Germany,Female,35,8,0.0,2,1,0,86945.37,3,GOLD,634,0
624,Spain,Female,33,6,0.0,2,1,0,94259.05,5,SILVER,664,0
675,France,Male,39,3,101851.99,1,1,1,94068.52,3,GOLD,462,0
709,Spain,Male,40,4,0.0,3,0,1,103774.62,3,DIAMOND,669,1
486,Spain,Female,24,6,0.0,1,1,1,144496.73,2,GOLD,441,0
509,Spain,Male,37,5,0.0,1,1,0,165581.16,1,SILVER,630,1
519,France,Female,51,9,0.0,2,1,0,88577.17,3,DIAMOND,534,1
653,Spain,Male,26,9,0.0,1,1,1,62639.11,3,SILVER,426,0
645,France,Male,39,0,0.0,1,1,1,80714.42,1,GOLD,283,0
605,Germany,Female,26,7,33201.16,2,1,1,149505.14,5,SILVER,527,0
672,France,Female,35,6,0.0,3,1,1,23037.26,3,GOLD,405,1
723,Spain,Male,48,1,0.0,2,1,1,15932.23,4,DIAMOND,390,1
673,Spain,Male,44,0,11233.58,1,1,1,65379.68,1,GOLD,508,0
716,Spain,Female,45,3,42122.05,1,1,0,130957.06,4,SILVER,250,0
464,Germany,Male,48,0,110806.85,1,1,0,161084.63,4,DIAMOND,475,1
