CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Card Type,Point Earned,Exited
450,France,Female,43,3,0.0,1,1,1,110600.86,2,GOLD,125,0
464,Germany,Male,36,7,0.0,2,1,0,36479.24,3,DIAMOND,641,0
670,Germany,Male,47,8,165271.65,2,1,0,183490.88,4,DIAMOND,395,1
693,Spain,Male,31,7,0.0,1,1,0,73114.59,1,PLATINUM,304,0
600,Germany,Male,38,5,92135.31,1,1,1,130065.68,3,GOLD,594,0
559,France,Male,46,9,58955.39,2,0,1,86497.52,4,SILVER,63,0
718,Spain,Male,48,4,85208.5,2,1,1,40959.53,1,PLATINUM,581,0
675,Spain,Female,44,9,101834.52,1,1,1,60293.67,1,DIAMOND,499,1
508,Germany,Female,18,10,40815.42,4,0,0,41831.6,3,GOLD,843,1
696,France,Male,34,0,34705.49,1,1,0,196204.41,5,SILVER,560,0
730,France,Male,31,10,58507.99,3,1,0,120745.61,5,DIAMOND,246,0
620,Germany,Female,30,8,0.0,1,1,0,115617.96,3,SILVER,225,0
586,France,Female,37,2,125460.84,2,0,1,56655.41,4,SILVER,334,0
616,France,Female,31,9,0.0,4,0,1,117014.81,3,GOLD,316,0
491,Spain,Female,49,2,54654.92,1,1,0,187765.74,4,GOLD,993,0
737,Germany,Male,41,10,40065.1,2,0,0,37762.24,5,GOLD,717,0
765,Spain,Female,45,3,0.0,3,1,1,35756.26,4,GOLD,569,1
592,Germany,Male,43,7,43587.15,3,0,1,32915.92,2,DIAMOND,458,0
696,Germany,Female,23,1,150463.58,1,1,0,88436.36,1,SILVER,159,0
607,France,Female,29,4,164598.09,2,0,1,102246.4,3,PLATINUM,446,0
658,Spain,Male,44,7,149110.26,1,1,1,192328.95,4,SILVER,495,0
705,Germany,Female,47,5,75241.39,1,0,0,81335.02,3,GOLD,70,0
578,Spain,Female,28,8,24411.43,2,1,1,159563.97,3,DIAMOND,708,1
662,France,Male,33,8,0.0,2,1,1,74940.21,1,SILVER,341,0
724,Spain,Male,46,2,0.0,2,0,0,33250.51,4,PLATINUM,548,0
638,France,Male,38,5,36783.17,2,1,1,71512.31,2,DIAMOND,257,0
850,Germany,Female,29,5,0.0,3,1,0,44598.45,5,DIAMOND,461,1
679,France,Female,28,1,0.0,1,1,0,124466.34,1,SILVER,499,0
715,Germany,Female,23,2,0.0,1,1,0,189170.45,5,GOLD,227,0
652,Spain,Female,43,7,101027.6,1,0,0,35717.89,2,DIAMOND,199,0
709,France,Female,25,3,0.0,2,1,0,18067.15,3,PLATINUM,352,0
564,Germany,Female,22,4,120861.17,1,0,1,137595.59,5,DIAMOND,616,0
661,Germany,Female,43,7,0.0,3,0,0,124844.5,4,SILVER,257,0
546,Spain,Male,30,1,162105.77,4,1,0,30019.63,5,GOLD,146,0
527,Germany,Female,36,6,0.0,1,1,1,173517.4,2,PLATINUM,523,0
433,Germany,Female,29,3,61333.08,1,1,0,162022.78,1,SILVER,265,1
626,France,Female,40,0,13822.36,4,1,0,35604.41,4,GOLD,417,1
654,France,Female,31,4,133296.88,1,0,1,60598.44,4,DIAMOND,439,1
450,Germany,Male,47,4,0.0,1,1,1,89235.9,2,GOLD,328,1
768,Germany,Male,24,6,37624.07,1,1,1,29432.12,4,DIAMOND,560,0
436,Spain,Male,43,2,0.0,1,1,0,160961.6,1,PLATINUM,602,1
650,Spain,Male,36,7,0.0,2,0,1,62775.97,5,GOLD,347,0
615,Spain,Male,40,10,0.0,1,1,1,96964.48,5,GOLD,518,0
710,Germany,Female,36,3,0.0,2,0,0,133841.3,4,DIAMOND,328,0
850,Germany,Female,33,1,0.0,1,1,0,121025.23,2,SILVER,234,0
467,France,Female,42,8,0.0,3,0,0,28372.4,2,SILVER,291,1
729,Spain,Female,30,9,134463.26,1,1,0,180197.55,3,DIAMOND,170,0
507,Germany,Female,25,0,66327.94,1,1,0,29546.24,1,DIAMOND,338,0
673,Spain,Male,50,1,51353.83,4,1,1,61873.43,1,DIAMOND,469,0
517,Germany,Female,41,2,50005.47,4,1,1,130193.43,2,SILVER,316,1
754,Germany,Male,45,8,59369.96,1,1,0,71246.58,3,DIAMOND,377,1
662,France,Female,49,2,130128.77,1,1,1,172624.12,1,DIAMOND,537,0
774,France,Female,40,6,10360.01,2,1,0,165144.5,3,PLATINUM,623,0
689,Germany,Female,44,10,121232.64,4,1,1,189247.52,5,DIAMOND,200,1
559,Spain,Female,32,5,132343.95,1,1,1,114858.53,4,DIAMOND,627,1
670,Germany,Female,53,2,98379.15,1,1,0,113619.86,3,DIAMOND,302,1
701,Germany,Female,38,7,74662.47,1,1,1,53123.43,1,GOLD,263,0
613,Spain,Male,42,5,0.0,2,1,1,161440.11,3,DIAMOND,456,0
459,Germany,Female,46,1,0.0,2,1,0,61473.45,1,GOLD,756,0
551,Germany,Male,33,2,0.0,2,0,1,69828.39,3,GOLD,354,0
409,Germany,Female,20,7,0.0,1,1,0,33810.37,2,GOLD,320,1
607,Spain,Female,27,3,0.0,1,1,0,127319.07,5,PLATINUM,285,0
643,Spain,Male,49,5,0.0,1,1,1,94837.77,3,SILVER,251,0
582,Spain,Male,44,2,0.0,1,0,0,83551.75,2,PLATINUM,425,0
631,Spain,Male,23,4,81074.07,1,1,1,68346.91,5,PLATINUM,261,0
529,France,Male,55,5,44232.17,1,1,0,32322.67,5,DIAMOND,511,0
457,Germany,Male,39,1,0.0,1,0,0,144390.3,4,DIAMOND,508,0
676,France,Male,61,10,71136.81,2,1,1,133927.8,3,DIAMOND,509,1
663,France,Male,34,1,27259.68,3,1,1,120631.57,5,SILVER,765,0
615,France,Female,20,5,68438.37,2,0,0,174960.02,1,PLATINUM,915,1
536,Germany,Male,56,5,48518.66,1,1,0,143638.89,4,DIAMOND,704,1
620,France,Female,28,5,74877.24,1,0,1,178338.23,5,PLATINUM,324,0
