CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Card Type,Point Earned,Exited
783,France,Female,52,5,0.0,1,1,0,144396.32,1,GOLD,235,0
543,Spain,Female,35,8,0.0,2,1,0,117066.28,4,DIAMOND,244,0
667,France,Female,45,1,0.0,1,1,1,113975.73,2,SILVER,381,0
685,France,Male,41,3,97759.64,1,1,1,178501.93,1,DIAMOND,292,0
681,France,Male,46,2,187907.26,1,1,0,189551.71,2,GOLD,666,1
708,Germany,Female,48,0,6101.68,2,1,0,149038.5,4,DIAMOND,302,1
581,France,Male,43,8,156585.58,1,1,1,87860.67,1,DIAMOND,403,0
687,France,Male,50,2,0.0,4,1,0,49860.43,5,SILVER,402,0
510,France,Female,35,3,37222.39,1,1,0,34779.0,1,DIAMOND,272,0
804,Spain,Female,35,8,0.0,2,1,0,95040.14,1,DIAMOND,414,0
716,France,Female,22,0,203128.15,3,1,1,71228.03,5,SILVER,552,0
629,France,Female,28,2,129859.27,2,1,0,16593.12,4,DIAMOND,625,0
680,France,Male,29,8,0.0,2,1,1,38323.2,2,DIAMOND,568,0
731,France,Male,52,4,68354.82,2,1,1,62546.94,4,SILVER,542,0
764,France,Male,23,5,71988.65,1,1,0,151017.58,3,DIAMOND,508,0
477,France,Male,45,7,0.0,1,1,1,170929.11,1,SILVER,454,0
540,France,Female,38,8,86139.21,2,1,0,40310.38,5,DIAMOND,380,0
690,France,Male,31,3,0.0,1,0,1,129521.84,4,PLATINUM,527,0
640,France,Female,47,7,192830.52,2,1,0,168291.61,5,DIAMOND,502,1
681,France,Female,23,2,62926.96,1,1,0,163340.22,2,DIAMOND,429,0
700,France,Female,41,10,61306.33,1,1,0,53459.72,3,GOLD,535,1
671,Germany,Male,36,4,14612.17,2,1,1,25314.16,5,DIAMOND,342,0
594,Spain,Male,33,5,190163.95,2,1,1,157284.42,3,DIAMOND,580,0
634,Germany,Female,23,7,98534.98,2,0,0,56403.09,2,PLATINUM,634,0
567,France,Female,34,9,114717.19,1,1,1,37041.96,3,GOLD,224,0
710,Germany,Female,44,7,128859.79,1,1,1,192303.58,5,GOLD,222,0
