CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Card Type,Point Earned,Exited
679,France,Female,63,5,140733.25,1,1,1,83834.88,4,GOLD,333,0
618,Germany,Female,38,9,123283.37,2,1,0,176748.87,1,PLATINUM,523,1
707,France,Male,44,8,0.0,2,0,0,80022.38,3,GOLD,453,0
649,France,Female,32,9,96802.68,3,1,0,139022.95,1,GOLD,357,0
537,Germany,Female,53,9,0.0,1,1,1,18791.0,3,GOLD,408,0
708,Germany,Female,62,5,119753.58,1,1,0,27762.4,3,GOLD,200,1
744,Germany,Male,27,1,45699.18,3,0,1,34421.36,3,GOLD,521,0
552,France,Male,56,1,3947.63,2,0,0,58498.64,3,GOLD,325,1
518,Spain,Male,34,3,95329.92,1,0,1,32847.96,3,DIAMOND,653,0
645,Spain,Male,36,7,0.0,2,0,0,112121.67,4,SILVER,388,0
483,Germany,Male,24,3,0.0,1,1,0,148649.08,1,SILVER,486,0
574,France,Male,48,0,46346.35,1,1,0,133581.3,3,PLATINUM,578,1
850,Spain,Female,57,5,165285.6,1,1,0,190898.92,5,GOLD,345,1
526,Germany,Male,43,6,67646.47,1,0,1,92994.82,5,SILVER,719,0
707,Germany,Female,51,5,0.0,1,1,0,98310.07,4,GOLD,289,1
463,Spain,Female,36,8,54184.75,2,1,1,67754.8,1,SILVER,468,0
569,Spain,Female,37,8,109885.4,2,0,0,174212.23,5,DIAMOND,665,0
476,France,Male,23,3,0.0,1,1,1,51215.31,1,GOLD,463,0
677,Germany,Female,44,8,57098.29,2,1,0,162785.0,3,GOLD,250,0
599,Spain,Female,39,10,0.0,1,1,0,166986.48,1,SILVER,467,1
676,Germany,Male,46,7,0.0,2,0,1,37868.32,4,PLATINUM,279,1
684,France,Female,40,8,0.0,1,1,1,32767.9,3,GOLD,784,0
571,France,Female,43,10,0.0,2,0,0,172654.55,5,GOLD,260,1
489,France,Male,47,8,55268.42,2,1,1,89574.04,2,GOLD,626,0
655,Spain,Male,36,8,74537.52,3,1,1,110866.43,2,SILVER,457,1
596,Germany,Female,32,2,105169.17,2,1,0,171992.59,4,PLATINUM,695,1
835,Germany,Female,52,7,0.0,2,1,1,118747.07,4,DIAMOND,583,1
677,France,Female,48,7,56360.46,1,1,1,24840.19,5,DIAMOND,462,1
638,Germany,Female,56,0,0.0,1,0,1,58703.09,1,SILVER,733,0
471,France,Male,31,7,0.0,1,1,0,45111.87,4,DIAMOND,969,0
493,Germany,Female,40,7,0.0,1,1,1,150282.25,2,SILVER,254,1
675,France,Male,35,1,63386.05,1,1,0,76617.01,3,PLATINUM,288,1
689,Germany,Female,40,1,0.0,2,1,0,59897.59,4,GOLD,484,0
614,Germany,Female,41,0,37544.23,3,1,0,134615.43,2,DIAMOND,458,0
677,Spain,Male,32,10,0.0,2,1,0,61405.32,3,DIAMOND,246,0
652,Spain,Female,49,1,0.0,2,1,0,35425.72,1,GOLD,50,1
503,Germany,Male,36,8,85992.96,2,1,1,31073.85,5,PLATINUM,205,0
706,France,Female,31,0,70598.38,4,1,0,15493.29,1,DIAMOND,464,1
541,France,Male,32,7,45290.59,2,1,0,80657.09,5,DIAMOND,749,1
435,Spain,Male,36,5,0.0,1,1,1,97941.64,2,GOLD,397,0
525,Spain,Female,32,2,10589.84,1,0,1,166650.48,3,DIAMOND,452,1
688,Spain,Female,26,2,24540.14,3,0,1,112612.22,5,GOLD,421,0
672,France,Female,44,4,0.0,2,1,1,63108.44,1,DIAMOND,747,0
628,Spain,Female,37,9,67666.12,1,0,0,142314.2,5,GOLD,579,1
552,Germany,Male,21,0,86047.15,3,1,0,126832.8,1,GOLD,446,1
661,Spain,Female,39,9,62030.32,3,1,0,44553.16,1,SILVER,758,0
454,Spain,Female,60,8,17558.52,1,1,1,148337.95,3,PLATINUM,398,1
540,Spain,Male,45,8,0.0,2,1,1,190610.15,5,GOLD,275,0
696,Spain,Male,38,4,89520.75,1,1,1,174346.83,3,SILVER,130,0
500,Germany,Male,28,8,116052.06,2,1,0,168163.05,5,SILVER,419,1
722,Germany,Female,48,5,0.0,1,1,0,179834.44,5,GOLD,865,1
676,Spain,Female,38,3,0.0,1,0,1,68881.58,5,DIAMOND,334,0
713,Germany,Male,30,7,18375.06,1,0,1,110122.69,5,DIAMOND,410,0
707,Spain,Female,55,2,154207.1,1,1,0,101053.88,5,PLATINUM,471,1
679,Germany,Female,45,6,37706.4,1,1,0,28268.47,3,DIAMOND,587,0
583,Germany,Male,53,7,0.0,2,1,0,169508.24,3,GOLD,568,0
567,France,Male,48,0,107404.1,2,1,1,10763.31,3,SILVER,351,0
633,Spain,Female,38,7,112677.51,1,0,0,54657.5,1,SILVER,156,1
600,Germany,Male,31,0,0.0,1,0,1,153969.89,2,SILVER,493,0
641,Spain,Male,41,3,0.0,1,1,1,22702.03,5,SILVER,422,0
689,Germany,Female,24,8,48368.95,1,1,0,180593.41,2,SILVER,406,0
694,France,Female,53,10,50771.44,1,0,0,154997.31,4,DIAMOND,544,1
578,Spain,Male,52,10,63734.06,2,1,1,89057.48,5,SILVER,243,0
637,Germany,Female,42,4,30630.7,2,1,0,178093.29,4,PLATINUM,213,0
656,Germany,Female,52,6,43755.72,3,0,1,142017.71,5,PLATINUM,904,0
640,France,Female,54,2,0.0,2,0,0,46661.83,3,GOLD,629,1
473,France,Male,40,9,0.0,1,0,1,25722.38,4,SILVER,381,0
553,Spain,Male,37,7,0.0,4,1,0,152419.58,5,SILVER,113,1
691,Spain,Male,21,3,68985.68,1,1,1,101644.65,5,GOLD,50,0
