CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Card Type,Point Earned,Exited
692,France,Female,59,6,51951.81,1,1,0,59746.1,5,PLATINUM,598,0
512,France,Female,33,0,49346.31,1,1,0,194000.75,2,PLATINUM,604,1
497,France,Male,18,6,0.0,3,1,0,85546.34,3,SILVER,526,0
672,France,Male,35,3,134992.6,2,1,1,141080.41,5,GOLD,517,0
582,Germany,Female,44,2,0.0,3,1,1,179617.5,3,DIAMOND,472,0
646,France,Male,41,8,106947.44,2,1,0,12117.68,2,GOLD,203,0
740,Spain,Male,55,1,0.0,3,1,1,67893.05,5,DIAMOND,636,1
740,Spain,Male,30,6,0.0,3,0,1,82398.65,2,DIAMOND,551,0
674,France,Male,35,10,87794.6,2,0,1,108679.99,3,PLATINUM,608,1
630,Germany,Male,27,10,0.0,2,1,0,158936.92,5,PLATINUM,598,0
557,Spain,Male,50,7,0.0,3,1,1,42118.17,1,SILVER,420,0
595,France,Female,40,6,0.0,2,0,0,84146.13,4,SILVER,309,0
758,Germany,Female,54,6,40876.93,2,0,1,44157.86,5,PLATINUM,50,0
683,France,Female,38,8,0.0,2,1,1,170628.85,4,DIAMOND,588,0
608,Germany,Female,58,0,0.0,2,0,1,82051.7,3,GOLD,50,1
520,France,Female,31,6,142145.35,1,1,1,68015.6,3,SILVER,513,1
771,France,Male,29,8,122169.45,1,1,0,184837.5,2,GOLD,657,0
635,France,Female,56,7,0.0,2,1,0,45950.95,1,GOLD,693,0
841,Germany,Female,34,1,0.0,1,1,0,173571.1,5,SILVER,444,0
613,France,Female,29,3,0.0,2,1,1,25792.9,2,DIAMOND,560,0
595,Germany,Female,45,6,0.0,1,1,0,61846.23,1,GOLD,546,1
701,Germany,Female,28,0,119886.69,2,1,1,109683.89,4,DIAMOND,469,1
721,Spain,Female,43,8,0.0,1,1,1,25918.5,4,SILVER,50,0
656,Spain,Male,45,5,38725.92,2,1,0,109924.71,2,PLATINUM,50,1
737,France,Female,39,2,0.0,2,0,1,183000.88,4,GOLD,691,0
563,Germany,Female,52,4,99166.22,1,0,0,35575.11,1,PLATINUM,436,0
604,Germany,Female,43,5,0.0,2,0,1,129001.88,2,PLATINUM,239,1
755,Spain,Male,26,9,0.0,1,0,1,114281.23,4,GOLD,463,0
695,Spain,Female,41,1,0.0,2,0,1,162029.15,1,PLATINUM,414,0
559,Germany,Male,52,7,155711.57,1,1,1,156171.39,5,GOLD,519,0
548,Germany,Male,53,10,0.0,2,1,1,129613.16,2,GOLD,421,0
672,Spain,Male,56,9,147576.77,2,1,0,32200.75,3,GOLD,533,1
793,France,Male,45,3,0.0,1,1,1,157127.68,1,PLATINUM,522,0
710,Germany,Female,61,7,0.0,1,1,1,199542.42,4,GOLD,367,0
645,Spain,Male,40,1,0.0,3,1,1,172433.59,3,GOLD,388,1
749,France,Female,58,2,23906.33,2,1,1,166762.78,3,GOLD,767,1
571,France,Female,35,8,0.0,3,1,0,23932.93,5,DIAMOND,606,1
633,Germany,Male,39,3,146748.99,1,1,1,184900.69,3,PLATINUM,428,1
449,France,Male,37,6,0.0,1,1,1,127323.32,1,DIAMOND,534,0
555,France,Female,53,4,111175.58,1,0,1,113282.25,2,PLATINUM,344,0
805,Spain,Male,49,5,124995.16,2,1,1,22178.0,3,PLATINUM,148,1
850,France,Male,43,1,98464.3,3,1,1,14643.19,2,PLATINUM,780,1
850,Spain,Female,47,8,62323.02,1,0,0,60041.48,1,GOLD,701,0
717,France,Female,43,0,170131.77,3,1,1,92455.28,3,GOLD,204,1
620,Spain,Female,39,4,55345.7,2,1,1,129460.15,3,GOLD,175,0
671,Spain,Male,42,2,0.0,2,1,0,134343.66,3,GOLD,418,0
808,Spain,Male,40,7,0.0,1,1,0,89635.62,3,GOLD,663,0
673,France,Female,49,4,0.0,2,1,0,28897.42,2,PLATINUM,238,0
422,France,Female,35,2,195569.56,1,1,0,117573.19,4,SILVER,368,1
674,France,Female,30,7,166967.08,4,1,0,142160.99,2,SILVER,603,1
617,France,Male,29,0,38928.89,3,1,1,198618.78,5,GOLD,800,1
705,Germany,Male,37,10,215869.55,1,1,1,179709.53,4,PLATINUM,479,0
767,Germany,Female,39,1,78865.54,1,0,0,121963.17,3,GOLD,83,0
694,France,Female,51,3,41219.78,1,1,1,128338.57,5,PLATINUM,483,0
676,France,Male,39,5,44968.62,2,1,0,57782.09,3,PLATINUM,376,1
550,Germany,Female,39,0,77991.37,1,0,1,59018.08,3,SILVER,412,0
461,Germany,Female,40,3,0.0,1,1,1,161599.79,2,PLATINUM,570,0
584,Spain,Female,59,4,0.0,1,1,1,195529.94,5,DIAMOND,520,1
562,Germany,Male,55,2,0.0,1,1,1,144687.76,2,DIAMOND,406,0
