CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Card Type,Point Earned,Exited
613,Germany,Female,55,9,0.0,2,1,0,43037.73,3,PLATINUM,579,0
767,Germany,Female,35,3,70387.92,2,1,0,37991.82,1,DIAMOND,493,1
746,France,Female,31,7,118822.75,1,0,0,122782.27,4,DIAMOND,407,0
686,France,Female,35,8,0.0,1,1,1,151457.3,1,SILVER,560,0
663,Germany,Male,46,5,0.0,1,1,1,147747.66,4,PLATINUM,455,0
850,Spain,Male,53,0,137176.0,2,1,1,65875.09,1,SILVER,496,0
698,Germany,Female,36,5,0.0,1,1,1,157169.69,3,PLATINUM,339,0
650,Spain,Female,34,2,116093.01,1,0,1,146330.64,5,DIAMOND,440,0
629,France,Female,33,9,23481.49,2,1,1,56871.48,2,DIAMOND,369,0
756,Spain,Female,29,9,95454.24,3,1,1,51722.09,4,GOLD,360,1
695,Spain,Male,53,7,0.0,2,1,0,191089.29,3,GOLD,300,0
422,Spain,Female,47,8,98568.9,1,0,0,157968.97,1,GOLD,419,0
713,France,Male,33,7,29875.36,2,1,1,178635.51,5,GOLD,626,0
658,France,Female,45,8,0.0,1,1,1,35710.38,1,GOLD,506,0
668,Germany,Female,43,3,181077.42,2,0,1,195091.66,4,SILVER,666,0
604,Germany,Male,45,9,0.0,1,0,0,86837.71,3,SILVER,131,1
470,Germany,Male,43,7,0.0,1,1,0,88672.35,4,GOLD,72,1
683,Germany,Male,41,10,78305.76,1,0,1,40222.22,5,SILVER,485,0
705,Germany,Male,40,8,91603.34,2,0,1,69711.2,2,DIAMOND,425,0
534,Germany,Female,63,3,1129.47,1,1,0,113901.78,1,SILVER,558,0
656,Germany,Male,53,7,21609.04,1,1,0,192642.54,3,DIAMOND,646,0
490,Germany,Male,47,3,7438.88,2,1,0,111415.6,4,DIAMOND,559,1
644,France,Female,40,0,13455.54,2,1,0,119114.0,5,SILVER,419,1
512,Spain,Male,47,3,93639.37,1,1,0,111581.18,5,SILVER,231,1
653,Spain,Male,37,8,0.0,2,0,0,92359.5,3,SILVER,813,0
641,Germany,Female,36,0,17880.72,1,1,0,124198.14,2,DIAMOND,495,1
655,Germany,Male,29,4,0.0,2,1,0,43222.21,4,DIAMOND,351,1
668,Germany,Female,48,9,0.0,3,0,0,136756.05,3,DIAMOND,558,1
603,Spain,Female,70,8,5264.33,2,0,0,30493.95,2,PLATINUM,304,0
639,Spain,Female,36,4,0.0,1,1,1,46139.65,3,DIAMOND,138,0
553,Germany,Male,52,5,56184.24,1,1,0,117218.12,2,PLATINUM,110,0
700,Germany,Female,29,8,86317.28,1,1,0,193380.21,5,DIAMOND,526,0
672,France,Male,50,9,39766.55,1,1,0,39715.17,1,GOLD,304,1
648,Germany,Female,19,0,0.0,2,1,1,73305.87,4,DIAMOND,336,0
585,Germany,Female,36,4,158257.54,2,1,1,67558.32,5,DIAMOND,578,0
752,Germany,Female,32,10,82110.5,2,1,1,88682.32,5,DIAMOND,708,0
579,France,Female,42,10,51495.67,4,1,0,15367.08,1,PLATINUM,596,1
711,Spain,Female,36,10,139155.27,1,0,1,58248.81,2,DIAMOND,647,0
610,Germany,Female,49,0,26872.17,2,1,1,78784.26,4,SILVER,710,1
391,Germany,Female,40,0,244119.93,1,1,1,131749.44,2,GOLD,492,0
571,Germany,Female,35,3,0.0,4,1,1,190706.15,3,GOLD,477,1
611,Germany,Male,48,6,5771.65,1,0,0,16321.18,5,PLATINUM,654,1
566,Spain,Male,54,6,133698.5,1,1,0,142792.11,4,PLATINUM,226,1
750,France,Female,26,5,58971.51,2,1,0,171707.72,2,DIAMOND,50,1
642,Spain,Male,37,8,89104.5,2,1,1,54864.58,2,GOLD,415,0
819,Spain,Male,38,7,0.0,3,1,0,41877.51,3,DIAMOND,439,1
806,Germany,Male,36,8,0.0,2,1,1,35835.18,1,SILVER,776,0
672,Germany,Male,55,5,0.0,1,1,1,155793.57,2,SILVER,666,0
627,Germany,Male,41,3,0.0,3,0,0,38342.06,3,PLATINUM,429,0
590,Germany,Male,28,2,122880.94,2,1,1,144852.77,4,SILVER,710,0
607,Spain,Female,44,0,125527.54,3,1,1,28533.77,5,PLATINUM,50,0
722,Germany,Male,38,7,120101.46,1,0,1,155020.54,3,SILVER,585,0
552,Germany,Female,57,1,234622.7,1,1,0,169970.87,3,GOLD,701,1
610,Germany,Female,36,1,0.0,2,1,0,71372.54,3,DIAMOND,359,1
578,Germany,Male,40,0,93219.84,1,1,1,109735.52,3,SILVER,929,0
850,Spain,Female,35,9,0.0,1,1,0,69383.36,2,DIAMOND,253,0
683,Germany,Female,63,1,0.0,1,0,1,113076.51,1,SILVER,669,1
530,Germany,Male,32,8,103144.62,1,1,0,86560.02,4,GOLD,605,1
726,Germany,Female,48,0,197570.03,2,0,1,39513.33,1,GOLD,732,0
521,Germany,Male,46,4,149422.98,2,1,0,190515.44,1,SILVER,344,1
552,Germany,Female,37,8,88377.8,2,0,1,168454.25,4,PLATINUM,424,0
632,Germany,Male,50,10,148205.92,1,0,1,57715.05,5,SILVER,297,0
685,Germany,Female,40,9,0.0,2,1,0,185909.38,2,GOLD,403,0
692,Germany,Male,32,8,47798.99,3,1,1,162942.22,5,GOLD,605,0
603,Germany,Female,32,9,122683.64,2,0,0,191240.69,2,GOLD,445,0
789,Germany,Male,49,8,0.0,1,1,0,165733.83,4,PLATINUM,645,0
614,Germany,Male,30,6,97060.07,1,0,0,189274.98,2,SILVER,412,0
682,France,Male,50,5,12830.61,4,0,0,165364.14,4,SILVER,718,1
622,Germany,Male,47,9,185302.87,1,0,0,80937.68,5,DIAMOND,50,0
662,Germany,Male,36,0,47740.17,1,0,0,38224.38,5,SILVER,310,1
685,Germany,Female,34,7,232720.63,2,1,1,96061.81,4,SILVER,567,1
485,Germany,Male,64,9,0.0,1,0,1,70836.98,2,GOLD,577,1
636,Germany,Male,44,0,101276.02,1,0,1,58689.66,3,GOLD,503,0
818,Germany,Female,42,8,0.0,1,1,0,81847.84,1,DIAMOND,392,0
